Date,Value
1/31/12,684586
2/7/12,710111
2/14/12,756274
2/21/12,763912
2/28/12,737025
3/6/12,789533
3/13/12,846793
3/20/12,904276
3/27/12,939213
4/3/12,1048315
4/10/12,1095714
4/17/12,1137348
4/24/12,1077314
5/1/12,1112165
5/8/12,1100686
5/15/12,1104590
5/22/12,1108738
5/29/12,1093933
6/5/12,1082409
6/12/12,1099528
6/19/12,1116839
6/26/12,1046687
7/3/12,1105822
7/10/12,1177621
7/17/12,1257622
7/24/12,1259806
7/31/12,1165730
8/7/12,1140078
8/14/12,1140549
8/21/12,1231055
8/28/12,1156476
9/4/12,1197773
9/11/12,1168390
9/18/12,1157098
9/25/12,1136216
10/2/12,1125249
10/9/12,1131066
10/16/12,1126262
10/23/12,1103335
10/30/12,841602
11/6/12,837306
11/13/12,860728
11/20/12,874049
11/27/12,843320
12/4/12,849291
12/11/12,858490
12/18/12,875152
12/24/12,772684
12/31/12,756932
1/8/13,760316
1/15/13,761604
1/22/13,787074
1/29/13,807210
2/5/13,890329
2/12/13,882769
2/19/13,906979
2/26/13,797229
3/5/13,813389
3/12/13,827046
3/19/13,807250
3/26/13,795077
4/2/13,780729
4/9/13,801665
4/16/13,789066
4/23/13,810498
4/30/13,730966
5/7/13,735671
5/14/13,782164
5/21/13,829734
5/28/13,845705
6/4/13,894137
6/11/13,918497
6/18/13,920174
6/25/13,770698
7/2/13,742553
7/9/13,741375
7/16/13,752912
7/23/13,770598
7/30/13,729592
8/6/13,757161
8/13/13,759301
8/20/13,800696
8/27/13,829919
9/3/13,877640
9/10/13,889565
9/17/13,890031
9/24/13,870333
10/1/13,882590
10/8/13,871614
10/15/13,890058
10/22/13,882349
10/29/13,709780
11/5/13,700143
11/12/13,711578
11/19/13,723098
11/26/13,741684
12/3/13,756122
12/10/13,789314
12/17/13,811261
12/24/13,786037
12/31/13,712941
1/7/14,722037
1/14/14,739472
1/21/14,764688
1/28/14,743080
2/4/14,778519
2/11/14,835846
2/18/14,858410
2/25/14,834272
3/4/14,831220
3/11/14,849739
3/18/14,842042
3/25/14,795823
4/1/14,833669
4/8/14,848303
4/15/14,901130
4/22/14,903409
4/29/14,788198
5/6/14,760332
5/13/14,781803
5/20/14,798278
5/27/14,816108
6/3/14,835276
6/10/14,842051
6/17/14,852366
6/24/14,764084
7/1/14,807301
7/8/14,861151
7/15/14,918357
7/22/14,990767
7/29/14,895718
8/5/14,956311
8/12/14,976948
8/19/14,975664
8/26/14,956762
9/2/14,982562
9/9/14,1062781
9/16/14,1119449
9/23/14,1213730
9/30/14,1240345
10/7/14,1232537
10/14/14,1258886
10/21/14,1239334
10/28/14,901622
11/4/14,893426
11/11/14,899654
11/18/14,916099
11/25/14,892505
12/2/14,915637
12/9/14,929951
12/16/14,948096
12/23/14,903785
12/30/14,787117
1/6/15,803171
1/13/15,842371
1/20/15,908821
1/27/15,925371
2/3/15,958275
2/10/15,995015
2/17/15,950537
2/24/15,884614
3/3/15,896551
3/10/15,913568
3/17/15,990121
3/24/15,982456
3/31/15,996400
4/7/15,985276
4/14/15,1050407
4/21/15,1000232
4/28/15,881492
5/5/15,888556
5/12/15,909506
5/19/15,922573
5/26/15,946375
6/2/15,983354
6/9/15,991973
6/16/15,993940
6/23/15,964765
6/30/15,913737
7/7/15,897572
7/14/15,925347
7/21/15,916868
7/28/15,834652
8/4/15,850424
8/11/15,859110
8/18/15,899748
8/25/15,887819
9/1/15,896140
9/8/15,897429
9/15/15,911018
9/22/15,959284
9/29/15,944877
10/6/15,950613
10/13/15,981222
10/20/15,978958
10/27/15,788010
11/3/15,777481
11/10/15,824618
11/17/15,843583
11/24/15,856763
12/1/15,857662
12/8/15,875282
12/15/15,878010
12/22/15,864240
12/29/15,799448
1/5/16,823470
1/12/16,837091
1/19/16,833868
1/26/16,846887
2/2/16,889581
2/9/16,921162
2/16/16,922451
2/23/16,861814
3/1/16,866539
3/8/16,876425
3/15/16,906462
3/22/16,981010
3/29/16,978426
4/5/16,977839
4/12/16,1082919
4/19/16,1214912
4/26/16,1078368
5/3/16,1099929
5/10/16,1201469
5/17/16,1231919
5/24/16,1185742
5/31/16,1216683
6/7/16,1253890
6/14/16,1302943
6/21/16,1282136
6/28/16,1100046
7/5/16,1072802
7/12/16,1119086
7/19/16,1118941
7/26/16,969840
8/2/16,957855
8/9/16,948122
8/16/16,933946
8/23/16,932722
8/30/16,853978
9/6/16,850942
9/13/16,858674
9/20/16,876710
9/27/16,867089
10/4/16,876633
10/11/16,879235
10/18/16,899743
10/25/16,725091
11/1/16,717637
11/8/16,729804
11/15/16,735285
11/22/16,797175
11/29/16,841404
12/6/16,866834
12/13/16,880522
12/20/16,860636
12/27/16,783863
1/3/17,753646
1/10/17,753124
1/17/17,832348
1/24/17,888526
1/31/17,880384
2/7/17,894710
2/14/17,939543
2/21/17,937737
2/28/17,828977
3/7/17,832019
3/14/17,851069
3/21/17,882245
3/28/17,900849
4/4/17,972367
4/11/17,1005527
4/18/17,1006985
4/25/17,821873
5/2/17,796675
5/9/17,799068
5/16/17,804104
5/23/17,843018
5/30/17,881728
6/6/17,904932
6/13/17,903351
6/20/17,916537
6/27/17,839666
7/3/17,847190
7/11/17,908861
7/18/17,860651
7/25/17,793968
8/1/17,793582
8/8/17,796479
8/15/17,858554
8/22/17,877727
8/29/17,798548
9/5/17,816962
9/12/17,827274
9/19/17,821337
9/26/17,819398
10/3/17,848692
10/10/17,877789
10/17/17,907268
10/24/17,930344
10/31/17,758371
11/7/17,801232
11/14/17,824750
11/21/17,833552
11/28/17,832314
12/5/17,889756
12/12/17,846620
12/19/17,893209
12/26/17,841222
1/2/18,814798
1/9/18,843057
1/16/18,886347
1/23/18,914648
1/30/18,929890
2/6/18,927214
2/13/18,929483
2/20/18,1004294
2/27/18,931437
3/6/18,1010410
3/13/18,1042930
3/20/18,1045359
3/27/18,1057007